model,MAE,RMSE,R2,train_time_s,inference_time_s,inference_time_per_sample_s,n_features,removed_low_variance_columns,params_json,search_strategy,selected_by,n_configs_evaluated,search_time_s
HistGradientBoosting,41.626330200490386,56.48013578156889,0.5945109392433058,1.3000165999983437,0.07609409999713534,6.365043914440431e-06,25,,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.421131550195,56.48966937444737,0.5943740382309224,0.9464965999941342,0.05694170000060694,4.763002927696105e-06,25,,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.43519883035426,56.496323392857676,0.594278473799064,1.0018087999997078,0.053556699996988755,4.479857799831765e-06,25,,"{""l2_regularization"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""max_iter"": 200}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.61612876019187,56.496462032977625,0.5942764825420512,1.3748550999953295,0.08210330000292743,6.867695525129856e-06,25,,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 8, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.4245889282637,56.50763559535471,0.5941159830997739,0.8453364000015426,0.05452549999608891,4.560895022675777e-06,25,,"{""l2_regularization"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,42.178841121841224,56.5344649905309,0.5937304703199404,0.8037622999981977,0.06539620000694413,5.4701965710534614e-06,25,,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,42.195477552659675,56.549240173688574,0.5935180869141068,0.8915009000047576,0.06405910000466974,5.358352154301108e-06,25,,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.74040238371344,56.568284944862675,0.5932442491552897,0.6666476000027615,0.03432009999960428,2.870773734805879e-06,25,,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 200}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.61573116176942,56.57089934053016,0.5932066505239144,2.3313769000014872,0.04737049999675946,3.962400668905016e-06,25,,"{""l2_regularization"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 200}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.767425894608614,56.5828363305599,0.5930349579918023,0.8178549000003841,0.07898919999570353,6.607210371869806e-06,25,,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,42.67260749242969,56.72686187464097,0.5909605494814694,0.6124914000029094,0.0424427999969339,3.550213299618059e-06,25,,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 200}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,42.715949941899034,56.75248210099931,0.5905909873552633,0.9308527999965008,0.08120459999918239,6.792521957271635e-06,25,,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,43.11224371734255,56.8454568379896,0.5892484601705605,0.6389105999987805,0.04267000000254484,3.569217900672927e-06,25,,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 200}",limited_random_search,RMSE_validation,20,22.12712779999856
